stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station,wheelchair_boarding
F03210,"Gusztáv utca",47.539377,19.174351,,,2
F03211,"Gusztáv utca",47.538837,19.174775,,,2
F03212,"Csömöri út",47.534835,19.181832,,,2
F03213,"Csömöri út (Szlovák út)",47.534673,19.181951,,,2
F03214,"Kisszentmihály, Baross utca",47.536648,19.177918,,,2
F03215,"Baross utca",47.536368,19.178262,,,2
F03216,"Szlovák út",47.532039,19.188704,,,2
F03217,"Timur utca",47.531678,19.189049,,,2
F03218,"Timur utca",47.53194,19.188239,,,2
F03219,"Gusztáv utca",47.535976,19.16664,,,2
F03220,"Gusztáv utca",47.535337,19.167103,,,2
F03221,"György utca",47.530819,19.172345,,,2
F03222,"Csömöri út",47.530712,19.171668,,,2
F03223,"Diófa utca",47.530343,19.171587,,,2
F03224,"Mátyás király utca",47.532674,19.176301,,,2
F03225,"Rákosszentmihály, Csömöri út",47.532179,19.176366,,,2
F03226,"Mátyás király utca",47.532305,19.175769,,,2
F03227,"Mátyás király utca",47.527595,19.181375,,,2
F03228,"Mátyás király utca 71.",47.528046,19.180473,,,2
F03229,"Rákosi út",47.527632,19.180738,,,2
F03230,"Mátyásföldi tér",47.52324,19.185248,,,2
F03231,"Mátyásföldi tér",47.523348,19.184969,,,2
F03232,"Sasvár utca",47.520377,19.187498,,,2
F03233,"Sasvár utca",47.519923,19.188221,,,2
F03234,"Olga utca",47.521337,19.181711,,,2
F03235,"Fuvallat utca",47.509874,19.185028,,,2
F03236,"Fuvallat utca",47.51008,19.185599,,,2
F03237,"Ballada utca",47.504138,19.187993,,,2
F03238,"Ballada utca",47.504281,19.188432,,,2
F03239,"Galgahévíz utca",47.50355,19.18312,,,2
F03240,"Galgahévíz utca",47.50372,19.183678,,,2
F03241,"Sashalom H",47.508712,19.178453,,,2
F03242,"Sashalom H",47.508278,19.180258,,,2
F03243,"Sashalom H",47.509151,19.180366,,,2
F03244,"Sashalom H",47.509413,19.179172,,,2
F03245,"Futórózsa utca",47.515199,19.185307,,,2
F03246,"Budapesti út",47.520287,19.179411,,,2
F03247,"Margit utca",47.511881,19.176217,,,2
F03248,"Margit utca",47.511454,19.17694,,,2
F03249,"Budapesti út",47.516465,19.170785,,,2
F03250,"Budapesti út",47.516105,19.171408,,,2
F03251,"Rákosi út",47.523639,19.171685,,,2
F03252,"János utca",47.523216,19.171803,,,2
F03253,"Rákosi út",47.521395,19.166979,,,2
F03254,"József utca",47.520919,19.166593,,,2
F03255,"József utca",47.520973,19.166965,,,2
F03256,"Rákosi út",47.520858,19.167675,,,2
F03257,"János utca",47.528968,19.168218,,,2
F03258,"Csömöri út",47.528747,19.166643,,,2
F03259,"János utca",47.528169,19.166715,,,2
F03260,"József utca",47.526338,19.162488,,,2
F03261,"Csömöri út",47.525996,19.16258,,,2
F03262,"József utca",47.525988,19.161983,,,2
F03263,"Rákóczi út",47.524097,19.157948,,,2
F03264,"Batthyány utca",47.523648,19.156659,,,2
F03265,"Rákóczi út",47.52449,19.157026,,,2
F03266,"Batthyány utca",47.518424,19.161236,,,2
F03267,"Rákosi út",47.517974,19.161209,,,2
F03268,"Batthyány utca",47.518468,19.161582,,,2
F03269,"Rákosi út",47.518406,19.160612,,,2
F03270,"Budapesti út",47.515435,19.163752,,,2
F03271,"Budapesti út",47.514841,19.164083,,,2
F03272,"Veres Péter út",47.508042,19.172179,,,2
F03273,"Thököly út",47.508456,19.171848,,,2
F03274,"Lándzsa utca",47.507422,19.171023,,,2
F03275,"Thököly út",47.50787,19.172989,,,2
F03276,"Pálya utca",47.521466,19.152193,,,2
F03277,"Pálya utca",47.521934,19.152911,,,2
F03278,"Csömöri út",47.522129,19.152201,,,2
F03279,"Csömöri út",47.520781,19.151243,,,2
F03280,"Rózsa utca",47.520565,19.151282,,,2
F03281,"Rákosszentmihály vasútállomás",47.52004,19.14818,,,2
F03282,"Rákosi út",47.516487,19.155324,,,2
F03283,"Rózsa utca",47.516102,19.156166,,,2
F03284,"Raktárak",47.536869,19.246103,,,2
